	Glo01	Glo02	Glo03	Glo04	Glo05	Glo06	Glo07	Glo08	Glo09	Glo10	Glo11	Glo12	Glo13	Glo14	Glo15	Glo16	Glo17	Glo18	Glo19	Glo20	Glo21	Glo22	Glo23	Glo24	Glo25	Glo26	Glo27	Glo28	Glo29	Glo30	Glo31	Glo32	Glo33	Glo34	Glo35	Glo36	Glo37	Glo38	Glo39	Glo40	Glo41	Glo42	Glo43	Glo44	Glo45	Glo46	Glo47	Glo48	Glo49
LN001	0.023	0.145	0.002	0.003	0.007	0.004	0.020	0.003	0.027	0.000	0.004	0.102	0.022	0.004	0.004	0.011	0.026	0.020	0.009	0.000	0.007	0.021	0.020	0.002	0.003	0.058	0.080	0.039	0.011	0.021	0.015	0.014	0.005	0.007	0.029	0.010	0.015	0.004	0.019	0.037	0.054	0.005	0.010	0.020	0.020	0.000	0.004	0.012	0.023
LN002	0.032	0.169	0.011	0.003	0.005	0.013	0.010	0.011	0.002	0.014	0.058	0.013	0.006	0.016	0.010	0.069	0.050	0.008	0.000	0.008	0.043	0.002	0.077	0.013	0.000	0.016	0.047	0.010	0.002	0.008	0.005	0.014	0.024	0.010	0.026	0.010	0.056	0.014	0.013	0.003	0.010	0.000	0.002	0.016	0.011	0.010	0.043	0.000	0.006
LN003	0.028	0.129	0.015	0.007	0.017	0.004	0.013	0.004	0.013	0.002	0.008	0.063	0.018	0.009	0.009	0.009	0.018	0.007	0.003	0.001	0.004	0.017	0.005	0.000	0.000	0.059	0.175	0.046	0.014	0.016	0.018	0.020	0.011	0.003	0.020	0.015	0.016	0.003	0.041	0.037	0.044	0.001	0.008	0.015	0.026	0.006	0.004	0.000	0.001
LN004	0.045	0.113	0.011	0.004	0.014	0.002	0.025	0.008	0.016	0.000	0.005	0.062	0.011	0.006	0.012	0.018	0.032	0.013	0.000	0.001	0.012	0.030	0.018	0.001	0.000	0.063	0.092	0.062	0.012	0.029	0.013	0.020	0.003	0.007	0.021	0.014	0.018	0.005	0.032	0.036	0.041	0.014	0.014	0.022	0.012	0.001	0.004	0.004	0.001
LN005	0.034	0.036	0.013	0.000	0.004	0.000	0.026	0.014	0.020	0.011	0.028	0.055	0.003	0.003	0.025	0.021	0.057	0.008	0.009	0.009	0.016	0.019	0.062	0.006	0.040	0.039	0.059	0.043	0.023	0.032	0.025	0.029	0.006	0.010	0.028	0.026	0.020	0.003	0.015	0.001	0.001	0.014	0.015	0.019	0.027	0.007	0.008	0.007	0.018
LN006	0.017	0.057	0.017	0.002	0.004	0.002	0.015	0.013	0.019	0.013	0.034	0.044	0.013	0.008	0.025	0.059	0.025	0.011	0.004	0.008	0.015	0.036	0.059	0.015	0.017	0.030	0.085	0.032	0.015	0.017	0.019	0.013	0.002	0.015	0.017	0.017	0.011	0.004	0.036	0.034	0.044	0.008	0.004	0.008	0.021	0.011	0.013	0.004	0.008
LN007	0.023	0.100	0.004	0.002	0.015	0.004	0.004	0.015	0.019	0.017	0.023	0.032	0.013	0.013	0.019	0.085	0.043	0.009	0.009	0.002	0.013	0.011	0.064	0.009	0.030	0.051	0.079	0.042	0.006	0.008	0.000	0.009	0.006	0.009	0.017	0.030	0.013	0.004	0.004	0.049	0.030	0.011	0.006	0.013	0.015	0.002	0.000	0.006	0.009
LN008	0.013	0.104	0.006	0.006	0.000	0.006	0.019	0.039	0.019	0.019	0.000	0.091	0.000	0.000	0.000	0.013	0.045	0.000	0.000	0.052	0.019	0.013	0.013	0.019	0.000	0.006	0.058	0.000	0.000	0.052	0.006	0.045	0.006	0.013	0.032	0.032	0.065	0.013	0.006	0.084	0.013	0.000	0.006	0.006	0.006	0.013	0.019	0.000	0.013
LN009	0.044	0.085	0.032	0.006	0.022	0.006	0.006	0.006	0.000	0.016	0.032	0.060	0.038	0.000	0.022	0.035	0.051	0.006	0.000	0.006	0.025	0.013	0.028	0.000	0.028	0.006	0.032	0.073	0.016	0.006	0.006	0.022	0.009	0.003	0.038	0.047	0.032	0.003	0.028	0.003	0.013	0.009	0.016	0.016	0.019	0.000	0.003	0.000	0.028
LN010	0.028	0.067	0.007	0.011	0.005	0.002	0.019	0.017	0.028	0.028	0.038	0.074	0.008	0.008	0.036	0.041	0.057	0.017	0.012	0.000	0.007	0.020	0.049	0.009	0.011	0.032	0.076	0.024	0.014	0.022	0.009	0.005	0.003	0.002	0.012	0.014	0.017	0.002	0.008	0.042	0.048	0.007	0.003	0.003	0.023	0.011	0.005	0.002	0.017
